patient,range,total_sites,no_silent_sites,no_replacement_sites,Replacement/Silent Ratio
P1,low,272.2159999999999,103.88989367892087,168.32610632107904,1.6202356202356205,
P1,mid,84.83400000000005,20.953635713576336,63.88036428642371,3.048652995577,
P1,high,2.1299999999999994,0.0080,2.1219999999999994,265.24999999999994,
P1,total,359.17999999999995,124.8515293924972,234.32847060750274,1.8768570296871703

P2,low,233.00199999999998,53.51506077348065,179.48693922651933,3.353951890034365,
P2,mid,121.64199999999997,29.317057920866468,92.3249420791335,3.1491885143570655,
P2,high,5.446,2.261627906976744,3.184372093023256,1.4080000000000001,
P2,total,360.0899999999999,85.09374660132386,274.99625339867606,3.2316858098524217

P3,low,179.30399999999992,33.35099621689786,145.95300378310205,4.3762711864406745,
P3,mid,94.22400000000002,12.283573926868048,81.94042607313197,6.670731707317073,
P3,high,8.495999999999999,0.006014157621519585,8.489985842378479,1411.6666666666663,
P3,total,282.0239999999999,45.640584301387435,236.3834156986125,5.179237280085099

P4,low,267.62399999999997,84.99646351931331,182.62753648068664,2.148648648648648,
P4,mid,88.71,24.453891317926296,64.2561086820737,2.627643504531722,
P4,high,0.088,0.0020,0.086,42.99999999999999,
P4,total,356.422,109.4523548372396,246.96964516276034,2.256412349738979

P5,low,156.19000000000003,62.0080149812734,94.18198501872662,1.5188679245283025,
P5,mid,181.19599999999988,52.37674910783554,128.81925089216435,2.4594739667203407,
P5,high,16.844,3.390408723540731,13.453591276459269,3.968132568514978,
P5,total,354.22999999999996,117.77517281264967,236.45482718735022,2.0076797302899285

P6,low,235.8279999999998,141.82433888888883,94.00366111111096,0.6628175519630477,
P6,mid,115.40599999999999,52.14357475083059,63.262425249169404,1.2132352941176459,
P6,high,7.81,0.006012317167051578,7.803987682832948,1298.0,
P6,total,359.04399999999976,193.9739259568865,165.0700740431133,0.8509910454655772

P7,low,262.5780000000001,37.36686923076921,225.21113076923086,6.0270270270270325,
P7,mid,87.2419999999999,6.238292277825712,81.0037077221742,12.984917043740557,
P7,high,10.308000000000002,0.452,9.856000000000002,21.805309734513276,
P7,total,360.12800000000004,44.05716150859492,316.0708384914051,7.1741080829672645

P8,low,250.8999999999998,129.42107913669057,121.47892086330923,0.938633193863319,
P8,mid,99.49799999999999,44.7788485523385,54.71915144766149,1.221986567691765,
